nohup: 忽略輸入
/rui/fs/大廳/plugins/科技專案/tools/tech-helper-bot/.venv/lib/python3.10/site-packages/google/api_core/_python_version_support.py:263: FutureWarning: You are using a Python version (3.10.12) which Google will stop supporting in new releases of google.api_core once it reaches its end of life (2026-10-04). Please upgrade to the latest Python version, or at least Python 3.11, to continue receiving updates for google.api_core past that date.
  warnings.warn(message, FutureWarning)
/rui/fs/大廳/plugins/科技專案/tools/tech-helper-bot/bot.py:22: FutureWarning: 

All support for the `google.generativeai` package has ended. It will no longer be receiving 
updates or bug fixes. Please switch to the `google.genai` package as soon as possible.
See README for more details:

https://github.com/google-gemini/deprecated-generative-ai-python/blob/main/README.md

  import google.generativeai as genai
2026-04-15 05:21:14,662 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-15 07:02:54,862 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-15 08:55:56,269 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-15 09:05:10,910 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-15 09:42:53,950 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-15 11:05:03,061 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-15 11:22:11,997 [INFO] 知識庫載入完成：781 個段落，來自 59 個檔案
2026-04-15 11:37:34,582 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-15 14:15:53,567 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-15 15:03:21,360 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-15 15:56:20,552 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-15 18:04:05,394 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-15 20:22:57,157 [INFO] 127.0.0.1 [15/Apr/2026:20:22:55 +0800] "POST /ask HTTP/1.1" 200 1332 "-" "Java-http-client/21.0.10"
2026-04-15 20:23:58,673 [INFO] 127.0.0.1 [15/Apr/2026:20:23:57 +0800] "POST /ask HTTP/1.1" 200 899 "-" "Java-http-client/21.0.10"
2026-04-15 20:25:06,755 [INFO] 127.0.0.1 [15/Apr/2026:20:25:05 +0800] "POST /ask HTTP/1.1" 200 424 "-" "Java-http-client/21.0.10"
2026-04-15 20:25:35,060 [INFO] 127.0.0.1 [15/Apr/2026:20:25:34 +0800] "POST /ask HTTP/1.1" 200 611 "-" "Java-http-client/21.0.10"
2026-04-15 21:29:29,679 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-15 21:38:11,247 [INFO] 127.0.0.1 [15/Apr/2026:21:38:09 +0800] "POST /ask HTTP/1.1" 200 645 "-" "Java-http-client/21.0.10"
2026-04-15 23:00:30,879 [INFO] 127.0.0.1 [15/Apr/2026:23:00:29 +0800] "POST /ask HTTP/1.1" 200 600 "-" "Java-http-client/21.0.10"
2026-04-15 23:49:32,604 [INFO] 127.0.0.1 [15/Apr/2026:23:49:31 +0800] "POST /ask HTTP/1.1" 200 322 "-" "Java-http-client/21.0.10"
2026-04-15 23:50:29,110 [INFO] 127.0.0.1 [15/Apr/2026:23:50:27 +0800] "POST /ask HTTP/1.1" 200 800 "-" "Java-http-client/21.0.10"
2026-04-16 00:42:10,063 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-16 04:06:02,952 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-16 04:23:00,515 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-16 07:25:58,297 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-16 08:16:11,310 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-16 09:59:51,883 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-16 13:50:22,392 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-16 16:23:32,144 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-16 17:25:49,438 [INFO] 127.0.0.1 [16/Apr/2026:17:25:48 +0800] "POST /ask HTTP/1.1" 200 242 "-" "Java-http-client/21.0.10"
2026-04-16 18:59:04,009 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-16 20:37:49,833 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-16 22:40:19,486 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-17 02:17:09,138 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-17 06:00:54,265 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-17 08:47:44,796 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-17 09:16:00,915 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-17 11:02:01,924 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
